Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
300,Khris Middleton,SG,24,MIL,8,8,287,4.5,12.3,.367,1.9,4.5,.417,2.6,7.8,.339,3.5,4.0,.875,0.4,3.5,3.9,2.8,0.6,0.3,1.3,3.1,14.4
301,Elfrid Payton,PG,21,ORL,8,8,238,4.4,11.2,.392,0.6,2.0,.308,3.8,9.2,.410,1.7,1.8,.917,1.4,2.6,3.9,7.1,1.7,0.5,3.2,3.3,11.0
302,Lou Williams,SG,29,LAL,7,0,186,4.8,15.1,.321,1.5,7.5,.205,3.3,7.5,.436,7.9,8.9,.891,0.6,3.3,3.9,3.9,1.4,0.4,1.7,3.3,19.2
303,Steve Blake,PG,35,DET,7,0,105,2.7,10.3,.267,1.7,6.5,.263,1.0,3.8,.273,0.0,0.0,,0.7,3.1,3.8,7.9,0.7,0.3,4.5,1.4,7.2
304,Avery Bradley,SG,25,BOS,6,6,172,5.0,13.2,.381,1.9,5.7,.333,3.1,7.5,.417,1.5,1.7,.875,0.8,2.9,3.8,2.9,1.3,0.2,1.9,2.5,13.4
305,Toney Douglas,PG,29,NOP,5,0,103,7.3,13.6,.538,2.8,5.2,.533,4.5,8.4,.542,2.4,2.8,.875,1.0,2.8,3.8,4.2,1.7,0.0,2.8,5.6,19.9
306,Tyler Ennis,PG,21,MIL,4,3,66,4.4,10.4,.421,0.5,0.5,1.000,3.8,9.8,.389,1.1,1.1,1.000,1.1,2.7,3.8,3.8,1.1,0.0,2.2,4.4,10.4
307,Gordon Hayward,SF,25,UTA,7,7,236,5.8,14.2,.409,1.4,3.8,.360,4.4,10.4,.426,3.8,5.0,.758,0.6,3.2,3.8,2.9,0.9,0.3,2.3,3.1,16.8
308,Jeremy Lin,PG,27,CHO,7,0,159,5.9,14.5,.406,2.0,6.1,.333,3.8,8.4,.459,6.3,7.7,.824,0.9,2.9,3.8,5.0,0.9,0.9,2.9,2.9,20.2
309,Derrick Rose,PG,27,CHI,8,8,256,5.9,16.0,.368,0.1,2.3,.063,5.8,13.8,.418,2.5,3.2,.783,0.4,3.4,3.8,6.5,0.4,0.1,3.2,1.1,14.5
310,Terrence Ross,SF,24,TOR,7,0,122,4.7,13.0,.364,2.1,7.4,.280,2.7,5.6,.474,1.5,1.5,1.000,0.3,3.5,3.8,1.5,1.5,0.3,1.8,4.7,13.0
311,Greivis Vasquez,PG,29,MIL,8,0,197,2.4,11.0,.217,0.5,5.1,.107,1.8,5.8,.313,3.1,3.3,.944,0.5,3.3,3.8,6.8,0.9,0.0,2.7,3.5,8.4
312,Caron Butler,SF,35,SAC,5,0,48,5.2,12.7,.412,0.0,3.0,.000,5.2,9.7,.538,0.7,1.5,.500,1.5,2.3,3.7,0.0,1.5,0.0,0.7,2.3,11.3
313,Kentavious Caldwell-Pope,SG,22,DET,7,7,266,5.1,11.8,.437,1.4,4.3,.313,3.8,7.4,.509,2.4,2.6,.947,0.5,3.1,3.7,1.5,1.5,0.3,1.4,1.9,14.1
314,Monta Ellis,SG,30,IND,8,8,264,4.9,13.9,.353,0.7,3.1,.217,4.2,10.8,.392,1.6,2.0,.800,0.4,3.3,3.7,5.2,1.6,0.3,2.9,2.5,12.1
315,Evan Fournier,SF,23,ORL,8,8,302,6.8,14.3,.475,2.3,5.8,.388,4.5,8.5,.535,2.3,3.0,.760,0.2,3.5,3.7,2.1,1.2,0.0,1.8,2.9,18.1
316,Mike Muscala,PF,24,ATL,3,0,29,3.7,7.4,.500,1.2,2.5,.500,2.5,5.0,.500,0.0,0.0,,0.0,3.7,3.7,2.5,0.0,0.0,2.5,3.7,8.7
317,C.J. Watson,PG,31,ORL,8,0,156,3.2,8.8,.368,1.2,3.7,.313,2.1,5.1,.409,1.2,1.6,.714,0.9,2.8,3.7,6.0,1.8,0.0,1.4,2.3,8.8
318,Mo Williams,PG,33,CLE,8,8,254,6.8,13.9,.490,2.3,5.5,.410,4.5,8.4,.542,2.8,3.1,.909,0.1,3.5,3.7,6.2,1.0,0.1,2.3,2.1,18.7
319,Goran Dragic,SG,29,MIA,8,8,240,4.6,10.9,.425,0.9,3.0,.300,3.7,7.9,.472,1.9,2.1,.929,0.6,3.0,3.6,4.8,0.7,0.5,2.5,3.3,12.2
320,Doug McDermott,SF,24,CHI,8,3,171,6.9,13.1,.532,4.0,6.9,.576,2.9,6.1,.483,0.8,1.1,.800,0.6,2.9,3.6,1.3,0.2,0.0,1.3,2.9,18.7
321,Bobby Portis,PF,20,CHI,2,0,20,10.8,18.0,.600,0.0,0.0,,10.8,18.0,.600,0.0,0.0,,1.8,1.8,3.6,1.8,1.8,1.8,3.6,3.6,21.6
322,Donald Sloan,PG,28,BRK,2,0,20,0.0,9.0,.000,0.0,0.0,,0.0,9.0,.000,3.6,3.6,1.000,1.8,1.8,3.6,0.0,3.6,0.0,1.8,1.8,3.6
323,Trey Burke,PG,23,UTA,7,0,163,8.0,16.6,.480,2.7,5.1,.522,5.3,11.5,.462,2.2,2.2,1.000,0.4,3.1,3.5,3.3,1.5,0.0,2.9,2.7,20.8
324,Boris Diaw,PF,33,SAS,7,0,134,4.8,8.6,.563,0.8,1.9,.429,4.0,6.7,.600,1.1,1.9,.571,0.5,3.0,3.5,7.0,0.8,1.1,1.9,2.4,11.6
325,Wayne Ellington,SG,28,BRK,7,2,92,3.1,11.3,.276,1.6,5.9,.267,1.6,5.5,.286,0.0,0.0,,0.4,3.1,3.5,1.6,1.6,0.4,0.0,2.0,7.8
326,Ben McLemore,SG,22,SAC,8,4,142,4.1,11.4,.356,1.3,4.3,.294,2.8,7.1,.393,2.3,3.0,.750,0.8,2.8,3.5,2.0,1.3,0.0,3.3,5.1,11.7
327,Jameer Nelson,PG,33,DEN,6,0,144,4.0,12.7,.314,1.7,6.2,.280,2.3,6.5,.346,1.2,1.5,.833,0.2,3.2,3.5,8.0,1.5,0.0,3.7,4.5,11.0
328,Jeff Teague,PG,27,ATL,9,9,284,7.4,16.9,.436,1.1,3.7,.310,6.2,13.2,.471,5.5,6.3,.860,0.5,3.0,3.5,7.5,1.6,0.8,3.8,2.2,21.3
329,Rashad Vaughn,SG,19,MIL,5,0,41,6.1,13.2,.467,3.5,6.1,.571,2.6,7.0,.375,0.0,0.0,,1.8,1.8,3.5,0.0,0.0,0.9,1.8,0.9,15.8
330,J.J. Barea,PG,31,DAL,7,0,160,5.6,14.4,.391,1.8,5.6,.320,3.8,8.8,.436,2.9,3.4,.867,1.1,2.3,3.4,8.1,0.2,0.0,3.4,2.7,16.0
331,Eric Bledsoe,PG,26,PHO,7,7,241,8.2,18.2,.451,1.3,3.9,.346,6.9,14.3,.479,5.1,6.6,.773,0.3,3.1,3.4,6.4,2.2,0.7,3.0,2.7,22.9
332,Courtney Lee,SG,30,MEM,8,8,236,4.3,11.6,.368,0.9,4.3,.214,3.4,7.3,.458,3.1,3.4,.909,0.9,2.4,3.4,1.8,1.7,0.2,0.8,2.3,12.5
333,Lance Thomas,SF,27,NYK,8,0,158,5.5,9.3,.585,1.1,1.6,.714,4.3,7.7,.559,3.0,3.6,.813,0.7,2.7,3.4,0.9,0.2,0.0,1.4,2.7,15.0
334,John Wall,PG,25,WAS,7,7,234,6.6,16.5,.402,1.2,4.6,.267,5.4,11.8,.455,4.6,6.0,.769,0.9,2.5,3.4,8.9,2.6,2.0,4.6,2.8,19.1
335,Deron Williams,PG,31,DAL,6,6,168,6.4,14.6,.441,1.5,4.3,.350,4.9,10.3,.479,2.4,2.4,1.000,0.2,3.2,3.4,6.2,1.1,0.0,1.5,3.4,16.7
336,Robert Covington,SF,25,PHI,1,1,22,1.6,14.7,.111,0.0,8.2,.000,1.6,6.5,.250,3.3,3.3,1.000,0.0,3.3,3.3,0.0,3.3,1.6,3.3,4.9,6.5
